"timepoint","region","t_statistic","t_p_value","mean_diff","shapiro_w_statistic_left","shapiro_w_p_value_left","shapiro_w_statistic_right","shapiro_w_p_value_right","t_degrees_freedom"
1,"gbca_cortex",-0.212182836562241,0.840342967599418,-0.0620530551666666,0.931590173606102,0.592436904114489,0.87728095521129,0.25680167923832,5
2,"gbca_cortex",-0.880641861595719,0.418822715863879,-0.3550408465,0.820783301176306,0.0896397957883286,0.930346735400263,0.582782210980861,5
3,"gbca_cortex",0.640212769781023,0.550215852292706,0.039131049,0.970370123915387,0.894911464285259,0.890889866239461,0.322876610601304,5
4,"gbca_cortex",1.84773108024379,0.123909652369601,0.1255750665,0.985722447668446,0.976214983357217,0.915934024955208,0.476569133234626,5
5,"gbca_cortex",1.7269062634074,0.159257846304014,0.0981067734,0.930010640515635,0.59644307864783,0.981498691684404,0.942475835917776,4
1,"gbca_medulla",0.50204771391608,0.636956691341602,0.0544784883333333,0.923527099952132,0.531119453545005,0.910034543434799,0.43662364367672,5
2,"gbca_medulla",-0.421293694713696,0.691038162619391,-0.1829476695,0.883736627931435,0.2866592066513,0.964093726957383,0.850666789384907,5
3,"gbca_medulla",0.113473479463786,0.914070591597926,0.0130984303333335,0.977983352478424,0.941105519382996,0.963221809229055,0.844194136638826,5
4,"gbca_medulla",2.62701879652812,0.04670077064398,0.0758854151666667,0.936574824519559,0.631740743012368,0.85079424789508,0.159748420142181,5
5,"gbca_medulla",-0.310461548694749,0.771714181049717,-0.0244554746,0.934157488706004,0.624982369759283,0.930976920868413,0.603047542250933,4
1,"gbca_pelvis",3.64418966510218,0.014838228030657,0.223686522,0.974853384666844,0.923303898299409,0.984600915014219,0.972010370534195,5
2,"gbca_pelvis",-0.759420512377841,0.481849622066383,-0.338128443,0.850218600355218,0.158047563260825,0.845990658928526,0.146028812577425,5
3,"gbca_pelvis",1.40597557485954,0.218727934912237,0.465026567666667,0.924910249039701,0.541407953096088,0.852546305385017,0.165022781723047,5
4,"gbca_pelvis",0.46962817404517,0.658388473335242,0.1214515925,0.950449553653444,0.743921449746476,0.88222940056786,0.279452118117418,5
5,"gbca_pelvis",0.315016234431303,0.768498367251371,0.0950792732000001,0.890987379616208,0.362092524242149,0.924199853114313,0.557387071837792,4
1,"aguix_cortex",3.22726984183552,0.0320584643425893,0.20616776,0.877811287017952,0.299510226126602,0.974499836219486,0.903269202892336,4
2,"aguix_cortex",1.38814763993078,0.223764017224725,0.120003133333333,0.826787062814072,0.100936785787474,0.670437328384699,0.002971932771994,5
3,"aguix_cortex",1.5147960346213,0.190252629040047,0.0918713,0.884932231230696,0.292480127986497,0.953891654683083,0.77164396737707,5
4,"aguix_cortex",2.00446810522952,0.101359547438512,0.20442365,0.986729662443852,0.97971244709744,0.835252694565186,0.11901910359919,5
5,"aguix_cortex",1.80661331633784,0.130640642408254,0.238465933333333,0.920975585053077,0.51241508830453,0.877600376870312,0.258217572904928,5
1,"aguix_medulla",2.47191436350612,0.0688052322641529,0.16747192,0.785617159540981,0.0615460456258207,0.755197515285586,0.0332274876936925,4
2,"aguix_medulla",0.661952009444323,0.537286473445452,0.102070445,0.902743699017908,0.390401714993521,0.932296827398866,0.59795243637207,5
3,"aguix_medulla",0.805599399483552,0.457059173947673,0.168960133333333,0.825523576733567,0.0984589293181641,0.847092934816374,0.149083116416645,5
4,"aguix_medulla",1.43206435092704,0.211551397161217,0.388197333333334,0.988538133208817,0.98530939711245,0.836245813518081,0.121317829084195,5
5,"aguix_medulla",1.86194568325949,0.121666176168009,0.47459425,0.940862421168195,0.666155535783302,0.886859806291928,0.302059971095154,5
1,"aguix_pelvis",-0.291507813559977,0.78515525536152,-0.0052056708,0.924769188916378,0.561160486605023,0.721723761742397,0.0159423620678618,4
2,"aguix_pelvis",1.06069074415971,0.337355684732539,0.187222686666667,0.817953018360338,0.0847181896588542,0.864791608567714,0.206221108275438,5
3,"aguix_pelvis",0.159037222783888,0.879863914726663,0.0328643833333333,0.932690699848629,0.601035359194855,0.912846432642007,0.455385731259057,5
4,"aguix_pelvis",1.77157490435989,0.136670054155526,0.474042,0.870621919987127,0.228695285150635,0.92648963023304,0.553278648800802,5
5,"aguix_pelvis",1.97257903125939,0.105575180986621,0.616456333333334,0.934839547448043,0.617958184470906,0.923845805589888,0.533481044791872,5
