X1,X11,M1,M2,M3,M4,M5,X2,X3,X4,X5,X6,y,y1,N1,N2,N3,N4,N5
85.09293194,15.52250527,86,6,126,75,95,3,GBCA,vena cava,26684,3.52,NA,,NA,NA,NA,NA,NA
75.42015707,12.64228598,75,9,111,67,83.25,4,GBCA,vena cava,26684,3.52,NA,,NA,NA,NA,NA,NA
67.92931937,21.46481912,71,-69,110,61,80,5,GBCA,vena cava,26684,3.52,NA,,NA,NA,NA,NA,NA
38.17,15.44283329,37.5,-5,92,29,49,1,GBCA,vena cava,26375,3.23,NA,,NA,NA,NA,NA,NA
69.27,14.9631915,69,30,113,59,76,2,GBCA,vena cava,26375,3.23,NA,,NA,NA,NA,NA,NA
64.11,18.91131672,64,17,119,51,75,3,GBCA,vena cava,26375,3.23,NA,,NA,NA,NA,NA,NA
56.97,11.95027615,56.5,29,82,49,64.25,4,GBCA,vena cava,26375,3.23,NA,,NA,NA,NA,NA,NA
50.38444688,13.86209892,50,10,94,41,60,5,GBCA,vena cava,26375,3.23,NA,,NA,NA,NA,NA,NA
155.0949411,38.66489822,154,70,273,123,185,1,AGUIX,aorta,26201,3.1,1.580719466,0.822782047,1.56,0.02,3.34,0.94,2.26
94.85853842,15.90071392,95,3,145,85,105,2,AGUIX,aorta,26201,3.1,0.51229202,0.147223343,0.52,0.06,0.84,0.42,0.62
86.47078715,15.21652976,86,10,138,76,97,3,AGUIX,aorta,26201,3.1,0.401587436,0.155812214,0.38,0,0.86,0.28,0.5
78.15930866,15.25626117,78,13,136,68,88,4,AGUIX,aorta,26201,3.1,0.32655348,0.132495338,0.34,0.02,0.62,0.22,0.42
63.60172835,15.56465347,64,11,137,53,74,5,AGUIX,aorta,26201,3.1,0.120169779,0.108927345,0.1,0,0.54,0,0.2
451.1008646,83.69430222,481,227,605,376,511,1,AGUIX,aorta,26608,2.9,7.808976689,1.034261905,7.86,3.18,9.5,7.26,8.58
107.221497,17.26514998,107,39,156,96,120,2,AGUIX,aorta,26608,2.9,0.816367713,0.200477209,0.84,0.32,1.44,0.64,0.96
106.256745,17.73394566,106,31,161,95,118,3,AGUIX,aorta,26608,2.9,0.835991031,0.223484593,0.86,0.08,1.36,0.7,0.98
86.29286336,14.3835001,86,44,141,76,96,4,AGUIX,aorta,26608,2.9,0.573524664,0.130575985,0.58,0.16,0.96,0.48,0.675
70.8359443,14.79457759,71,25,135,61,82,5,AGUIX,aorta,26608,2.9,0.34335426,0.102921691,0.34,0,0.68,0.26,0.42
744.3468254,81.47310121,779,357,867,694,800,1,AGUIX,aorta,26599,3.22,11.60954169,1.74154382,12.48,0.72,13.54,10.58,12.88
110.1236489,25.37654084,113,-111,286,99,125,2,AGUIX,aorta,26599,3.22,1.07052323,0.278301029,1.08,0.12,1.72,0.9,1.26
